ip.src,category,count
10.157.172.129,general,106
10.157.172.129,search,19
10.157.172.129,social,8
10.157.172.129,video,2
10.157.172.144,general,257
10.157.172.144,search,35
10.157.172.144,social,19
10.157.172.144,video,6
